gaze3d_x,gaze3d_y,gaze3d_z
-24.18757444315371,2.9632537873972473,3.3106230850967395
-24.584393112532165,2.9453661279564844,0.6816592573760603
-24.581072367930897,2.9548102677714487,0.6798448825822636
-24.68036431920406,2.981579495875082,0.6999416347651055
-24.680042732211184,3.0156810426793035,0.6881164935390146
-24.673797008260298,2.9980364615746677,0.6190915238980604
-24.65582214582935,2.995402499768722,0.6041551200929481
-24.750802212722423,3.0068792109405473,0.5854120592967518
-24.748279848681413,3.0349645399950393,0.6074920971450505
-24.738312045343612,3.026761388829413,0.6401218321359152
-24.733739464873,3.008333109252404,0.6160120227450391
-24.627016921155498,2.9890051774253017,0.5949492931907563
-24.721636400186092,2.98557290171109,0.6285909814739963
-24.726324775240297,3.0100736213182064,0.5935424847567148
-24.616097002339377,2.9605426925003977,0.5991457514286035
-24.612798163930346,2.9726984961557177,0.6147835560535735
-24.711642538748762,3.015874713088447,0.6600186818466327
-24.608594485852596,2.9875402046754442,0.6845516411570169
-24.60855560722528,2.980268329199417,0.6983437022627063
-24.608661922594553,2.9870931221255796,0.6889892695427282
-24.708851337173595,2.991307043053701,0.6744672992621483
-24.60925564421429,2.9859723330993786,0.6871449830503845
-24.611903256580074,2.9878980720747625,0.723388569132841
-24.614143059226024,2.9915611840239413,0.7219396281343846
-24.61667636025738,2.992932447933243,0.7247347676370017
-24.61896013610087,2.9935495109583776,0.725934138494676
-24.62075539337256,2.9893750707523234,0.7285311175548043
-24.621468442556537,2.9839980530300947,0.6729053640189381
-24.6232117021022,2.9729141955825287,0.658785853461084
-24.624677603441967,2.9744370058967773,0.6618890310536907
-24.62558248058445,2.975920500576661,0.6784984921195628
-24.626641453479262,2.976432976070525,0.6822105947630516
-24.627777428155333,2.975068677051337,0.6670337923170309
-24.62855533246451,2.976662371153435,0.660986518397402
-24.62928872306869,2.9745476269397964,0.6502225014958048
-24.628894395294715,2.973079706823107,0.6541860838615928
-24.628255298414008,2.9696704958525904,0.6563401092081018
-24.616023163940422,2.958341638296632,0.6311261889204832
-24.610784362160654,2.960615793341657,0.6551882974115316
-24.606581755081347,2.9564684218672097,0.6734755946511964
-24.603778206233706,2.950001451935517,0.6763297267236293
-24.50222799346621,2.940028044657035,0.6713471156434327
-24.501207836787316,2.931885828349756,0.6768123953480788
-20.079015111652986,2.3444369880286624,0.00834908685963176
-20.072479412256193,2.3000364079592024,0.09948893241923251
-20.069905359269086,2.309243639309855,0.10354434941670199
-20.068396798081167,2.333077513870652,0.08265861078952275
-20.070693239156455,2.354607638427154,0.03485260208136254
-23.062038112536694,2.8702186841509967,0.13797012425651556
-24.518761502761112,2.926343972746164,0.4877191698109589
-24.518965054490458,2.9314306412960778,0.48164133024146366
-24.513899075761657,2.9345984239545686,0.49441882135726856
-24.516463491891134,2.936600351767995,0.4712555333445132
-24.63642194257527,2.947425585255997,0.4113214010000385
-24.69378018705352,2.9805061773685817,0.28735941917737745
-23.336774400936612,3.043151121378235,-0.750781215339521
-23.324625857557265,3.0333877579327404,-0.7462947070653368
-24.689888174817142,2.9949118977841906,0.2592081118048658
-24.682730945516504,2.995694179207634,0.2630273149227512
-24.752113166105985,2.9901204360558267,0.33381164413211856
-24.74566865948407,2.9858981647573213,0.33963227894611897
-24.742492712633585,2.9833156650727886,0.3412269159261985
-24.657698952445998,2.9782620365291645,0.28522450593005544
-24.73417599290711,2.97729210128512,0.34993484451978063
-24.653019229899343,2.9739606898475466,0.28910955322332027
-24.650272837622225,2.9752137799024423,0.2918003988217834
-24.649701594028958,2.9740531210208925,0.2906311389848222
-24.65057066168037,2.973937252017048,0.28731309007618605
-24.65240435594261,2.975659201891724,0.28287492270738424
-24.65533039553835,2.975610812590243,0.2770268106306274
-24.657434628089497,2.975814427539749,0.2727251013576658
